name,province,area_km2,match_method
Akbar,Basilan,30.56181676876681,contains
City of Lamitan,Basilan,248.3904264477529,contains
Hadji Mohammad Ajul,Basilan,63.27631637848896,contains
Hadji Muhtamad,Basilan,52.64471602373368,contains
Lantawan,Basilan,149.6483221361417,contains
Maluso,Basilan,86.28747834915305,contains
Sumisip,Basilan,264.90927574709127,contains
Tabuan-Lasa,Basilan,27.070109110298517,contains
Tipo-Tipo,Basilan,44.83192961989459,contains
Tuburan,Basilan,44.03190808906071,contains
Ungkaya Pukan,Basilan,264.90927574709127,contains
Amai Manabilang,Lanao del Sur,327.7989949404874,contains
Bacolod-Kalawi,Lanao del Sur,21.983259332761452,contains
Balabagan,Lanao del Sur,86.12601612204186,contains
Balindong,Lanao del Sur,39.383964513802034,contains
Bayang,Lanao del Sur,21.503233200806438,contains
Binidayan,Lanao del Sur,15.198793295988082,contains
Buadiposo-Buntong,Lanao del Sur,28.654532606579938,contains
Bubong,Lanao del Sur,146.42121441773764,contains
Butig,Lanao del Sur,471.2603982758441,contains
Calanogas,Lanao del Sur,67.30766801191074,contains
City of Marawi,Lanao del Sur,55.65444582951586,contains
Ditsaan-Ramain,Lanao del Sur,18.61198111742097,contains
Ganassi,Lanao del Sur,21.41456357017064,contains
Kapai,Lanao del Sur,81.9130709508857,contains
Kapatagan,Lanao del Sur,87.62879126086476,contains
Lumba-Bayabao,Lanao del Sur,256.66392948632114,contains
Lumbaca-Unayan,Lanao del Sur,20.995610188435368,contains
Lumbatan,Lanao del Sur,27.768240134473825,contains
Lumbayanague,Lanao del Sur,17.062885486787003,contains
Madalum,Lanao del Sur,80.45753256941944,contains
Madamba,Lanao del Sur,99.716273464929,contains
Maguing,Lanao del Sur,286.8659281878554,contains
Malabang,Lanao del Sur,86.55536710366941,contains
Marantao,Lanao del Sur,34.51445888684189,contains
Marogong,Lanao del Sur,231.7155773799376,contains
Masiu,Lanao del Sur,59.74321452973013,contains
Mulondo,Lanao del Sur,12.407448426620647,contains
Pagayawan,Lanao del Sur,48.53651579079631,contains
Piagapo,Lanao del Sur,119.46331003320199,contains
Picong,Lanao del Sur,153.21385814972604,contains
Poona Bayabao,Lanao del Sur,19.091228047669034,contains
Pualas,Lanao del Sur,66.37797580179472,contains
Saguiaran,Lanao del Sur,33.43058866669858,contains
Sultan Dumalondong,Lanao del Sur,25.38817720581816,contains
Tagoloan II,Lanao del Sur,172.40652068145246,contains
Tamparan,Lanao del Sur,8.363631431972545,contains
Taraka,Lanao del Sur,9.632070059118004,contains
Tubaran,Lanao del Sur,45.104552096729876,contains
Tugaya,Lanao del Sur,30.952571043590694,contains
Wao,Lanao del Sur,314.8387490479543,contains
Barira,Maguindanao del Norte,160.6485676645429,contains
Buldon,Maguindanao del Norte,378.997287706,contains
City of Cotabato,Maguindanao del Norte,86.08874986591739,contains
Datu Blah T. Sinsuat,Maguindanao del Norte,275.93380248104256,contains
Datu Odin Sinsuat,Maguindanao del Norte,387.7062609053217,contains
Kabuntalan,Maguindanao del Norte,87.7868199516103,contains
Matanog,Maguindanao del Norte,112.09505892786426,contains
Northern Kabuntalan,Maguindanao del Norte,112.87020523085425,contains
Parang,Maguindanao del Norte,144.2774573584204,contains
Sultan Kudarat,Maguindanao del Norte,184.08008541696057,contains
Sultan Mastura,Maguindanao del Norte,55.95990860726927,contains
Talitay,Maguindanao del Norte,33.7999121942275,contains
Upi,Maguindanao del Norte,530.4294639754137,contains
Ampatuan,Maguindanao del Sur,222.14969913989333,contains
Buluan,Maguindanao del Sur,57.87282090783011,contains
Datu Abdullah Sangki,Maguindanao del Sur,106.00187032742534,contains
Datu Anggal Midtimbang,Maguindanao del Sur,33.588056506010005,contains
Datu Hoffer Ampatuan,Maguindanao del Sur,48.95332568772304,contains
Datu Paglas,Maguindanao del Sur,143.8508847138883,contains
Datu Piang,Maguindanao del Sur,55.73423316613443,contains
Datu Salibo,Maguindanao del Sur,29.36514153054314,contains
Datu Saudi Ampatuan,Maguindanao del Sur,40.530262106381166,contains
Datu Unsay,Maguindanao del Sur,59.006852805970254,contains
Gen. S.K. Pendatun,Maguindanao del Sur,140.53293499122836,contains
Guindulungan,Maguindanao del Sur,113.16470976164779,contains
Mamasapano,Maguindanao del Sur,36.11101989018209,contains
Mangudadatu,Maguindanao del Sur,92.42451327417548,contains
Pagagawan,Maguindanao del Sur,159.49821445936732,contains
Pagalungan,Maguindanao del Sur,198.2619347308221,contains
Paglat,Maguindanao del Sur,33.544063366856555,contains
Pandag,Maguindanao del Sur,44.84990695698042,contains
Rajah Buayan,Maguindanao del Sur,68.04791552143737,contains
Shariff Aguak,Maguindanao del Sur,36.52941581761021,contains
Shariff Saydona Mustapha,Maguindanao del Sur,55.97503838329068,contains
South Upi,Maguindanao del Sur,441.20255586282445,contains
Sultan Sa Barongis,Maguindanao del Sur,107.17718104200507,contains
Talayan,Maguindanao del Sur,136.09042961150158,contains
Kadayangan,Special Geographic Area,247.44292103473765,contains
Kapalawan,Special Geographic Area,360.4243710434929,contains
Ligawasan,Special Geographic Area,172.90929965110848,contains
Malidegao,Special Geographic Area,255.7621227595434,contains
Nabalawag,Special Geographic Area,59.006852805970254,contains
Old Kaabakan,Special Geographic Area,140.53293499122836,contains
Pahamuddin,Special Geographic Area,172.90929965110848,contains
Tugunan,Special Geographic Area,247.44292103473765,contains
Bongao,Tawi-Tawi,121.86484740417289,contains
Languyan,Tawi-Tawi,229.53657928021624,contains
Mapun,Tawi-Tawi,70.71757548800262,contains
Panglima Sugala,Tawi-Tawi,231.8071854332351,contains
Sapa-Sapa,Tawi-Tawi,50.75694268771719,contains
Sibutu,Tawi-Tawi,104.94078801420167,contains
Simunul,Tawi-Tawi,56.3485249436939,contains
Sitangkai,Tawi-Tawi,27.48744233175804,contains
South Ubian,Tawi-Tawi,30.36126115046639,contains
Tandubas,Tawi-Tawi,217.82841110792836,contains
Turtle Islands,Tawi-Tawi,3.18717642953967,contains
Bangued,Abra,118.9108824400169,contains
Boliney,Abra,178.54889867921878,contains
Bucay,Abra,99.64014969795427,contains
Bucloc,Abra,57.93377924614134,contains
Daguioman,Abra,93.44264120096332,contains
Danglas,Abra,176.15008925020487,contains
Dolores,Abra,44.76195733207258,contains
La Paz,Abra,52.602006111033646,contains
Lacub,Abra,248.6376491966051,contains
Lagangilang,Abra,90.8101037450771,contains
Lagayan,Abra,133.35349120910453,contains
Langiden,Abra,89.75729413091972,contains
Licuan-Baay,Abra,275.1667502480851,contains
Luba,Abra,136.90720451153138,contains
Malibcong,Abra,259.3001089899221,contains
Manabo,Abra,77.36511702673883,contains
Peñarrubia,Abra,39.38590453803472,contains
Pidigan,Abra,54.90567188005279,contains
Pilar,Abra,84.94201401660177,contains
Sallapadan,Abra,132.50807910941884,contains
San Isidro,Abra,45.494593005506324,contains
San Juan,Abra,68.30381541509641,contains
San Quintin,Abra,57.20677988086452,contains
Tayum,Abra,48.2829533313029,contains
Tineg,Abra,744.1160538291961,contains
Tubo,Abra,431.05518994210564,contains
Villaviciosa,Abra,88.49605195284525,contains
Calanasan,Apayao,1362.4311312088137,contains
Conner,Apayao,704.8698534980532,contains
Flora,Apayao,243.82224153219028,contains
Kabugao,Apayao,989.3821217974479,contains
Luna,Apayao,321.80514767801515,contains
Pudtol,Apayao,302.2851574201644,contains
Santa Marcela,Apayao,64.61354631676302,contains
Atok,Benguet,178.09872128124928,contains
Bakun,Benguet,315.20387104029237,contains
Bokod,Benguet,392.1787839024724,contains
Buguias,Benguet,176.39529668674976,contains
Itogon,Benguet,438.1414829461737,contains
Kabayan,Benguet,190.5849200184973,contains
Kapangan,Benguet,181.1155783720695,contains
Kibungan,Benguet,167.18483303916074,contains
La Trinidad,Benguet,70.69264466061782,contains
Mankayan,Benguet,146.05581160448733,contains
Sablan,Benguet,101.76776726881887,contains
Tuba,Benguet,341.70509967574515,contains
Tublay,Benguet,76.28110274960936,contains
Aguinaldo,Ifugao,450.05995128255347,contains
Alfonso Lista,Ifugao,359.3916686742095,contains
Asipulo,Ifugao,205.02152826610208,contains
Banaue,Ifugao,191.9364017798777,contains
Hingyon,Ifugao,57.06068265250564,contains
Hungduan,Ifugao,241.5665915664518,contains
Kiangan,Ifugao,118.91800402725282,contains
Lagawe,Ifugao,229.28388875766768,contains
Lamut,Ifugao,150.57137628310448,contains
Mayoyao,Ifugao,273.67177832842896,contains
Tinoc,Ifugao,228.57601733483273,contains
Balbalan,Kalinga,631.5822616499689,contains
City of Tabuk,Kalinga,689.7545592117663,contains
Lubuagan,Kalinga,62.17912632117935,contains
Pasil,Kalinga,337.055841865216,contains
Pinukpuk,Kalinga,366.0707752923936,contains
Rizal,Kalinga,185.2010178758518,contains
Tanudan,Kalinga,338.9519457063411,contains
Tinglayan,Kalinga,214.16028220222012,contains
Barlig,Mountain Province,252.30900418276147,contains
Bauko,Mountain Province,129.50273684735174,contains
Besao,Mountain Province,130.75476543789833,contains
Bontoc,Mountain Province,279.86190727827557,contains
Natonin,Mountain Province,359.59022376644305,contains
Paracelis,Mountain Province,470.4963431628017,contains
Sabangan,Mountain Province,113.15624495832381,contains
Sadanga,Mountain Province,176.1302478845334,contains
Sagada,Mountain Province,65.02539922135567,contains
Tadian,Mountain Province,135.013418737715,contains
Boac,Marinduque,231.06957739541224,contains
Buenavista,Marinduque,76.59886152533832,contains
Gasan,Marinduque,99.28301330770877,contains
Mogpog,Marinduque,99.31306070756648,contains
Santa Cruz,Marinduque,241.88285944873795,contains
Torrijos,Marinduque,173.84367697276667,contains
Abra De Ilog,Occidental Mindoro,601.7472564818812,contains
Calintaan,Occidental Mindoro,299.5900422128241,contains
Looc,Occidental Mindoro,129.92097004562038,contains
Lubang,Occidental Mindoro,125.22086930142136,contains
Magsaysay,Occidental Mindoro,261.11945616407536,contains
Mamburao,Occidental Mindoro,320.6543069043294,contains
Paluan,Occidental Mindoro,530.043493087265,contains
Rizal,Occidental Mindoro,303.7100173068551,contains
Sablayan,Occidental Mindoro,2102.8735741813443,contains
San Jose,Occidental Mindoro,610.3161440556885,contains
Santa Cruz,Occidental Mindoro,688.9079752692091,contains
Baco,Oriental Mindoro,435.1535017585383,contains
Bansud,Oriental Mindoro,345.9503480543745,contains
Bongabong,Oriental Mindoro,395.61315533893367,contains
Bulalacao,Oriental Mindoro,352.57948166014796,contains
City of Calapan,Oriental Mindoro,185.07151307664896,contains
Gloria,Oriental Mindoro,255.30520213528754,contains
Mansalay,Oriental Mindoro,454.2054075110951,contains
Naujan,Oriental Mindoro,574.401139304072,contains
Pinamalayan,Oriental Mindoro,168.71668162091902,contains
Pola,Oriental Mindoro,168.33497004693996,contains
Puerto Galera,Oriental Mindoro,109.71162914929245,contains
Roxas,Oriental Mindoro,104.09649411086207,contains
San Teodoro,Oriental Mindoro,156.12737421860885,contains
Socorro,Oriental Mindoro,205.0588062624818,contains
Victoria,Oriental Mindoro,207.10551850872537,contains
Aborlan,Palawan,771.2448761678263,contains
Agutaya,Palawan,30.882352843248857,contains
Araceli,Palawan,173.69549904074677,contains
Balabac,Palawan,556.0634045628688,contains
Bataraza,Palawan,688.147712256092,contains
Brooke's Point,Palawan,685.2532425006564,contains
Busuanga,Palawan,404.0083971636187,contains
Cagayancillo,Palawan,12.140073154510468,contains
Coron,Palawan,692.75514942212,contains
Culion,Palawan,430.2690140630967,contains
Cuyo,Palawan,42.593304454189294,contains
Dr. Jose P. Rizal,Palawan,1271.4227476390854,contains
Dumaran,Palawan,525.5969565281938,contains
El Nido,Palawan,561.8028252039147,contains
Kalayaan,Palawan,0.3546369330971241,contains
Linapacan,Palawan,159.75739135903711,contains
Magsaysay,Palawan,47.223560034883,contains
Narra,Palawan,753.3686301918938,contains
Quezon,Palawan,935.0041437187807,contains
Roxas,Palawan,1129.695151193695,contains
San Vicente,Palawan,604.9899364821368,contains
Sofronio Española,Palawan,441.4932415946315,contains
Taytay,Palawan,1297.2321262206935,contains
Alcantara,Romblon,70.37622800574367,contains
Banton,Romblon,28.805724536353914,contains
Cajidiocan,Romblon,127.62278152475864,contains
Calatrava,Romblon,38.088387534018665,contains
Concepcion,Romblon,20.471982409466982,contains
Corcuera,Romblon,20.616896309453814,contains
Ferrol,Romblon,34.941677993460395,contains
Looc,Romblon,81.80191545346236,contains
Magdiwang,Romblon,79.26950855140268,contains
Odiongan,Romblon,136.53089792632997,contains
Romblon,Romblon,88.84766382800942,contains
San Agustin,Romblon,102.39319956449165,contains
San Andres,Romblon,102.38094323857459,contains
San Fernando,Romblon,244.4351948082651,contains
San Jose,Romblon,28.34436016902688,contains
Santa Fe,Romblon,56.866151321728196,contains
Santa Maria,Romblon,50.25096789560464,contains
Binondo,City of Manila,0.70040551377514,contains
Ermita,City of Manila,2.517033876342103,contains
Intramuros,City of Manila,1.1718051569902599,contains
Malate,City of Manila,2.811813168406099,contains
Paco,City of Manila,2.811406741464166,contains
Pandacan,City of Manila,1.6311181244629194,contains
Port Area,City of Manila,1.6594495450442284,contains
Quiapo,City of Manila,0.8978532758873999,contains
Sampaloc,City of Manila,7.822899519522503,contains
