psgc_code,name,province,geographic_level,income_classification,population_2024
0102801000,Adams,Ilocos Norte,Mun,4th,2279
0102802000,Bacarra,Ilocos Norte,Mun,2nd,32734
0102803000,Badoc,Ilocos Norte,Mun,1st,32832
0102804000,Bangui,Ilocos Norte,Mun,2nd,15227
0102805000,City of Batac,Ilocos Norte,City,3rd,56781
0102806000,Burgos,Ilocos Norte,Mun,3rd,10962
0102807000,Carasi,Ilocos Norte,Mun,5th,1775
0102808000,Currimao,Ilocos Norte,Mun,3rd,12256
0102809000,Dingras,Ilocos Norte,Mun,1st,40176
0102810000,Dumalneg,Ilocos Norte,Mun,4th,3452
0102811000,Banna,Ilocos Norte,Mun,1st,19363
0102812000,City of Laoag,Ilocos Norte,City,3rd,112117
0102813000,Marcos,Ilocos Norte,Mun,2nd,18105
0102814000,Nueva Era,Ilocos Norte,Mun,1st,13305
0102815000,Pagudpud,Ilocos Norte,Mun,1st,25565
0102816000,Paoay,Ilocos Norte,Mun,2nd,24204
0102817000,Pasuquin,Ilocos Norte,Mun,1st,30521
0102818000,Piddig,Ilocos Norte,Mun,1st,22781
0102819000,Pinili,Ilocos Norte,Mun,1st,17705
0102820000,San Nicolas,Ilocos Norte,Mun,1st,39116
0102821000,Sarrat,Ilocos Norte,Mun,2nd,26294
0102822000,Solsona,Ilocos Norte,Mun,2nd,26249
0102823000,Vintar,Ilocos Norte,Mun,1st,35051
0102901000,Alilem,Ilocos Sur,Mun,1st,7736
0102902000,Banayoyo,Ilocos Sur,Mun,1st,7953
0102903000,Bantay,Ilocos Sur,Mun,1st,37088
0102904000,Burgos,Ilocos Sur,Mun,1st,13026
0102905000,Cabugao,Ilocos Sur,Mun,1st,38981
0102906000,City of Candon,Ilocos Sur,City,1st,61315
0102907000,Caoayan,Ilocos Sur,Mun,2nd,19715
0102908000,Cervantes,Ilocos Sur,Mun,1st,20065
0102909000,Galimuyod,Ilocos Sur,Mun,1st,10263
0102910000,Gregorio del Pilar,Ilocos Sur,Mun,1st,4385
0102911000,Lidlidda,Ilocos Sur,Mun,1st,4846
0102912000,Magsingal,Ilocos Sur,Mun,1st,31970
0102913000,Nagbukel,Ilocos Sur,Mun,1st,5370
0102914000,Narvacan,Ilocos Sur,Mun,1st,46265
0102915000,Quirino,Ilocos Sur,Mun,1st,9460
0102916000,Salcedo,Ilocos Sur,Mun,1st,11196
0102917000,San Emilio,Ilocos Sur,Mun,1st,7513
0102918000,San Esteban,Ilocos Sur,Mun,1st,8621
0102919000,San Ildefonso,Ilocos Sur,Mun,2nd,8213
0102920000,San Juan,Ilocos Sur,Mun,1st,26709
0102921000,San Vicente,Ilocos Sur,Mun,3rd,13074
0102922000,Santa,Ilocos Sur,Mun,2nd,15164
0102923000,Santa Catalina,Ilocos Sur,Mun,2nd,14319
0102924000,Santa Cruz,Ilocos Sur,Mun,1st,41296
0102925000,Santa Lucia,Ilocos Sur,Mun,1st,26200
0102926000,Santa Maria,Ilocos Sur,Mun,1st,30076
0102927000,Santiago,Ilocos Sur,Mun,1st,19771
0102928000,Santo Domingo,Ilocos Sur,Mun,1st,29372
0102929000,Sigay,Ilocos Sur,Mun,1st,2577
0102930000,Sinait,Ilocos Sur,Mun,1st,26059
0102931000,Sugpon,Ilocos Sur,Mun,3rd,4238
0102932000,Suyo,Ilocos Sur,Mun,1st,11051
0102933000,Tagudin,Ilocos Sur,Mun,1st,41606
0102934000,City of Vigan,Ilocos Sur,City,4th,54498
0103301000,Agoo,La Union,Mun,1st,65256
0103302000,Aringay,La Union,Mun,1st,50786
0103303000,Bacnotan,La Union,Mun,1st,45203
0103304000,Bagulin,La Union,Mun,4th,14434
0103305000,Balaoan,La Union,Mun,1st,40440
0103306000,Bangar,La Union,Mun,1st,38190
0103307000,Bauang,La Union,Mun,1st,77670
0103308000,Burgos,La Union,Mun,4th,9121
0103309000,Caba,La Union,Mun,1st,23432
0103310000,Luna,La Union,Mun,2nd,38076
0103311000,Naguilian,La Union,Mun,1st,53443
0103312000,Pugo,La Union,Mun,3rd,19107
0103313000,Rosario,La Union,Mun,1st,58797
0103314000,City of San Fernando,La Union,City,2nd,124809
0103315000,San Gabriel,La Union,Mun,3rd,18579
0103316000,San Juan,La Union,Mun,1st,41319
0103317000,Santo Tomas,La Union,Mun,1st,42777
0103318000,Santol,La Union,Mun,1st,14877
0103319000,Sudipen,La Union,Mun,1st,16888
0103320000,Tubao,La Union,Mun,2nd,31868
0105501000,Agno,Pangasinan,Mun,2nd,29270
0105502000,Aguilar,Pangasinan,Mun,1st,45363
0105503000,City of Alaminos,Pangasinan,City,3rd,100430
0105504000,Alcala,Pangasinan,Mun,1st,49479
0105505000,Anda,Pangasinan,Mun,2nd,42688
0105506000,Asingan,Pangasinan,Mun,1st,58349
0105507000,Balungao,Pangasinan,Mun,1st,30678
0105508000,Bani,Pangasinan,Mun,1st,52715
0105509000,Basista,Pangasinan,Mun,3rd,37840
0105510000,Bautista,Pangasinan,Mun,3rd,35728
0105511000,Bayambang,Pangasinan,Mun,1st,129506
0105512000,Binalonan,Pangasinan,Mun,1st,56560
0105513000,Binmaley,Pangasinan,Mun,1st,88006
0105514000,Bolinao,Pangasinan,Mun,1st,84658
0105515000,Bugallon,Pangasinan,Mun,1st,76027
0105516000,Burgos,Pangasinan,Mun,3rd,23240
0105517000,Calasiao,Pangasinan,Mun,1st,100686
0105518000,City of Dagupan,Pangasinan,City,2nd,174777
0105519000,Dasol,Pangasinan,Mun,2nd,31842
0105520000,Infanta,Pangasinan,Mun,2nd,26837
0105521000,Labrador,Pangasinan,Mun,3rd,26995
0105522000,Lingayen,Pangasinan,Mun,1st,108510
